0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1.0308943,1.3192289,0.749295,-1.2640334,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.86303264,1.2168937,1.1249559
0.5701127,0.43966118,0.45770493,-1.7657442,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.4637119,1.6476132,1.5359117
0.9467169,-0.64544356,-0.059702013,1.3217744,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.9021729,0.9986047,0.98209125
-1.9096787,-0.36397284,1.4181625,1.0515475,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.704697,0.93533224,0.8754803
1.0120025,1.1187493,2.815598,0.84704626,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.7185801,0.8141963,0.7665151
-0.97423255,0.08559141,1.2328103,-0.24648331,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.82897806,1.3142432,1.0602316
1.0155281,-0.14567271,0.69644946,-0.2726989,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.2546734,1.3467926,1.2937728
0.6107345,0.30758473,0.6490465,0.3299143,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4475989,100000.0,1.0853144
-0.23581684,1.0331799,-0.04637508,0.575644,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.94246894,0.99582267,0.9625132
0.43027118,-1.0182949,-0.6653241,0.7248194,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.1001877,1.1741588,1.118028
0.11372794,-0.30095455,0.59861743,0.18296091,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.63973254,1.2580252,0.884832
-1.0190996,-2.03099,0.91251063,0.7705921,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6714606,0.6982581,0.69617313
-0.315031,-0.04008784,1.4304633,1.7624936,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.55666125,1.089012,0.97609663
-0.42970422,0.8040491,-0.36851028,-0.017238164,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.5145151,100000.0,1.0707961
0.6888294,1.34796,0.5379481,-1.2004882,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.8715973,1.0778662,1.0144162
-1.247269,-0.4049744,0.06913461,0.8574039,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.87105674,1.0392466,0.96751904
-0.37220767,-0.021408381,1.2945935,-0.15192655,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0910974,1.3978252,1.154388
1.6555421,-0.014539761,-0.3923672,-0.10191943,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.78998333,0.87295043,0.8642134
1.7176467,2.0987203,1.0669694,0.7974866,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.32787636,0.3865356,0.33109936
-1.259465,0.47523406,-0.72704715,-0.43527126,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.93734366,1.0852108,0.97733355
-1.5790764,1.7499883,0.57434475,-0.25620863,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.53985256,100000.0,0.8795567
0.5747787,0.24118918,-0.07564511,0.4082205,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0139197,100000.0,1.1241299
-1.2270473,-0.882826,-1.789387,0.18560493,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.8862134,1.151601,1.1120021
-1.7070298,-0.5311508,-0.56138813,-0.8084699,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53445596,0.92716414,0.7578315
1.5270698,-0.41902632,0.6997428,-2.1406748,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.591355,100000.0,1.0583651
1.1160642,2.2763705,0.96781754,1.1946465,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.5013692,0.93432593,0.5522192
0.1840232,0.36420986,-0.45652235,0.546733,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1087011,1.4844799,1.1566764
0.33257145,-0.005033271,0.34034094,-1.1927254,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.80910003,100000.0,1.3571723
-0.26399526,-0.24908409,0.9679659,2.5375662,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.8230481,100000.0,0.9275986
-0.06513489,0.9021697,1.2420782,0.3599905,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.5542891,100000.0,0.8957043
-0.99714655,0.9465498,0.74556714,0.36397192,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.318887,100000.0,0.93147224
0.79847115,-0.1325313,-1.3324881,-0.040024776,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.7970021,1.1838619,1.1208047
-0.53212184,-1.2852231,-0.40347075,0.6477819,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.1431572,1.4209408,1.1755861
-0.13590267,-0.23901354,0.99025667,0.682584,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.66599166,0.853939,0.80391943
